ID,Category,English Name,Indonesian Name,Simple Description (Context for AI),Example Sentence (from LKS),Asking and Giving Information
1,Living Room,remote control,remot TV,"A small handheld device, usually rectangular and made of plastic, with many buttons. It is used to control the television from a distance, such as turning it on/off, changing channels, and adjusting the volume.",I use the remote control to turn on the television.,Q: Is there a remote control in the bedroom? A: The remote control isn't in the bedroom. It's in the living room.
2,Living Room,vase,vas bunga,"A container for holding flowers, often cylindrical or round and made of glass, ceramic, or plastic. It is usually placed on a table or shelf as decoration and can hold water for real flowers.",It is a vase.,Q: Is there a vase in the bedroom? A: The vase isn't in the bedroom. It's in the living room.
3,Living Room,flower,bunga,"A decorative flower that can be real or artificial. It usually has a soft petal shape with a stem and is used to make a room look beautiful, often placed in a vase.",There is a flower in the vase.,Q: Is there a flower in the bedroom? A: The flower isn't in the bedroom. It's in the living room.
4,Living Room,photo frame,bingkai foto,"A flat, rectangular (sometimes oval) frame made of wood, plastic, or metal. It has a clear cover (glass/plastic) to protect and display a photo on a table or wall.",That is a photo frame.,Q: Is there a photo frame in the bedroom? A: The photo frame isn't in the bedroom. It's in the living room.
5,Living Room,small clock,jam kecil,"A small clock, often round or square, usually placed on a table. It can be digital or analog and is used to tell the time at a quick glance.",The small clock is on the table.,Q: Is there a small clock in the bedroom? A: The small clock isn't in the bedroom. It's in the living room.
6,Living Room,newspaper,koran,"A large folded paper made of thin sheets with printed news, pictures, and stories. It is usually rectangular and is read to get information about current events.",My dad is reading the newspaper.,Q: Is there a newspaper in the bedroom? A: The newspaper isn't in the bedroom. It's in the living room.
7,Living Room,magazine,majalah,"A thin book with colorful pictures and articles. It is usually glossy, rectangular, and stapled or bound, and people read it for stories, hobbies, or information.",I read a magazine in the living room.,Q: Is there a magazine in the bedroom? A: The magazine isn't in the bedroom. It's in the living room.
8,Living Room,coaster,tatakan gelas,"A small flat mat, usually round or square, made of cork, plastic, wood, or cloth. It is placed under a glass or cup to protect the table from water marks and heat.",The glass is on the coaster.,Q: Is there a coaster in the bedroom? A: The coaster isn't in the bedroom. It's in the living room.
9,Living Room,key,kunci,"A small metal object with a unique shape and teeth, usually attached to a keychain. It is used to lock or unlock doors and cabinets.",The key is on the table.,Q: Is there a key in the bedroom? A: The key isn't in the bedroom. It's in the living room.
10,Living Room,candle,lilin hiasan,"A wax stick or cylinder (sometimes in a jar) with a wick in the center. When lit, it gives a warm light and can be used for decoration or a nice smell.",The candle is on the table.,Q: Is there a candle in the bedroom? A: The candle isn't in the bedroom. It's in the living room.
11,Living Room,tissue pack,tisu saku,"A small soft pack, usually rectangular, containing folded paper tissues. It is used to wipe hands, face, or small spills and is easy to carry.",I take a tissue from the tissue pack.,Q: Is there a tissue pack in the bedroom? A: The tissue pack isn't in the bedroom. It's in the living room.
12,Living Room,pen,pulpen,"A writing tool with a long, thin cylindrical body, usually plastic or metal, with ink inside. It is used to write on paper and often has a cap or click button.",I write my homework with a pen.,Q: Is there a pen in the bedroom? A: The pen isn't in the bedroom. It's in the living room.
13,Living Room,pencil,pensil,"A long, thin wooden (or mechanical) writing tool with a graphite tip. It is used for writing and drawing, and the marks can be erased.",I draw with a pencil.,Q: Is there a pencil in the bedroom? A: The pencil isn't in the bedroom. It's in the living room.
14,Living Room,calendar,kalender,"A paper or digital display that shows days, weeks, and months. It is usually rectangular and hung on a wall or placed on a table to help people remember dates.",The calendar is on the wall.,Q: Is there a calendar in the bedroom? A: The calendar isn't in the bedroom. It's in the living room.
