ID,Category,English Name,Indonesian Name,Simple Description (Context for AI),Example Sentence (from LKS)
OBJ001,Living Room,remote control,remot TV,A small device used to change TV channels.,I use the remote control to turn on the television.
OBJ002,Living Room,vase,vas bunga,"A small container for flowers, usually placed on a table.",It is a vase.
OBJ003,Living Room,flower,bunga,"A small flower, can be real or plastic, used for decoration.",There is a flower in the vase.
OBJ004,Living Room,photo frame,bingkai foto,A small frame used to display a photo.,That is a photo frame.
OBJ005,Living Room,small clock,jam kecil,A small clock placed on a table.,The small clock is on the table.
OBJ006,Living Room,newspaper,koran,A folded paper that contains news.,My dad is reading the newspaper.
OBJ007,Living Room,magazine,majalah,A thin book with pictures and stories.,I read a magazine in the living room.
OBJ008,Living Room,coaster,tatakan gelas,A small mat used under a glass or cup.,The glass is on the coaster.
OBJ009,Living Room,key,kunci,A small metal object used to open a door.,The key is on the table.
OBJ010,Living Room,candle,lilin hiasan,A small decorative candle.,The candle is on the table.
OBJ011,Living Room,tissue pack,tisu saku,A small pack of tissues for cleaning hands or face.,I take a tissue from the tissue pack.
OBJ012,Living Room,pen,pulpen,A tool used for writing.,I write my homework with a pen.
OBJ013,Living Room,pencil,pensil,A tool used for writing and drawing.,I draw with a pencil.
OBJ014,Living Room,calendar,kalender,A small calendar to see the date.,The calendar is on the wall.
OBJ015,Living Room,fan,kipas tangan,A small hand fan to make you feel cool.,I use a fan because it is hot.
OBJ016,Living Room,sofa,sofa,A soft chair for sitting in the living room.,My dad sits on the sofa.
OBJ017,Living Room,television,televisi,An electronic device to watch shows.,Our family is watching television at night.
OBJ018,Living Room,table,meja,A piece of furniture used to put things on.,The table is in the living room.
OBJ019,Living Room,table lamp,lampu meja,A lamp placed on a table.,The table lamp is on the table.
OBJ020,Living Room,frame,bingkai,A frame used to hold a picture or photo.,That is a frame.
OBJ021,Living Room,picture,foto,A photo or picture on the wall.,There is a picture on the wall.
OBJ022,Living Room,window,jendela,An opening in the wall to see outside.,The window is open.
OBJ023,Living Room,door,pintu,An entrance to the room.,I close the door.
OBJ024,Living Room,clock,jam,A wall clock to tell the time.,The clock is not working.
OBJ025,Living Room,air condition,pendingin ruangan,A machine that makes the room cool.,The air condition is broken.
OBJ026,Living Room,curtain,tirai,Cloth used to cover a window.,The curtain color is the same as the wall.
